Filename,Transcription,Language_Code,Confidence,Model_Used
5348024557505813_f1831_chunk_0_subchunk_1_3_4_5_1.mp3,बाद में पौजों की एक विशाल श्रृंखला पाई जाती है,Error,0.0,IndicLID
5348024557504926_f109_chunk_17_subchunk_1_4_3_1.mp3,सी का जरूरत है पैर ोडेहै फूल ह फल है यह सब,Error,0.0,IndicLID
5348024557505385_f749_chunk_0_subchunk_1_4_3_5_1.mp3,मध्य प्रदेश महाराष्ट्र नई दिल्ली,mar_Deva,0.0,IndicLID-FTN
5348024557504819_f22_chunk_8_subchunk_1_3_5_4.wav,तो अभी सुधार आया है परिस्थिति में और यह लोग भी परिकवर कर र मलब ओजो नश्ट हुआ था दोतीन साल अभी धीरेधीरे ओब ठीक हो रहा है और मुश्किल कम हो रहे है,hin_Deva,0.0,IndicLID-FTN
5348024557505870_f315_chunk_1_subchunk_1_4_3_1.mp3,ब बिरला मनदिर और साँखी मनदिर बहुत प्रसिद्ध हैं इन्हें देखने के लिए दुनियाभर से लोग ते हैं हैदराबाद में कई प्रसदच हैं और मस्जिद भी हैं इन्हें भी देखने के लिए बहुत सारे लोग आते हैं,hin_Deva,0.0,IndicLID-FTN
5348024557505756_f1676_chunk_0_subchunk_1_4_3_5_1.mp3,प्रत्येक जनजाति कि अपनी संस्कृति परम्परा पहनावा और भाषा होती है,hin_Deva,0.0,IndicLID-FTN
5348024557505796_f708_chunk_32_subchunk_1_4_3_1.mp3,चूले पर खाना रही बनाते अब सब लोग ह गैसिरंद से खाना बनाते हैं,hin_Deva,0.0,IndicLID-FTN
5348024557506023_f230_chunk_0_subchunk_1_4_3_5_1.mp3,आध्र बुदेश,mai_Deva,0.0,IndicLID-FTN
5348024557505681_f594_chunk_1_subchunk_1_3_5_4.wav,वैसे मैं बहु ज्यादा घूमता हूँ और मैंने दुनिया मे बहुत जगह वाशी है यूरोप में अमेरका में इंदिया में चीन मैं जापान मे सब जगह और ये सब ो है तो प्राकृतिक दृश्यों से भड़ा,mai_Deva,0.0,IndicLID-FTN
5348024557505926_f493_chunk_0_subchunk_1_3_5_4_1.mp3,देखा जाए तो बच्चे अभी करहकर भार मी खिलते,mai_Deva,0.0,IndicLID-FTN
