Filename,Transcription,Language_Code,Confidence,Model_Used
5348024557506342_f1955_chunk_0_subchunk_1.wav,मुझे बताओ मेरे पास कौनसी सूचियां है,mai_Deva,0.0,IndicLID-FTN
5348024557506445_f341_chunk_1_subchunk_1.wav,इसका एकोनॉमी बढ़ गया है,hin_Deva,0.0,IndicLID-FTN
5348024557507247_f387_chunk_2_subchunk_1.wav,इस तरह मेरी डर दूर हो गया,mai_Deva,0.0,IndicLID-FTN
5348024557506563_f292_chunk_4_subchunk_1.wav,स्पेंड करने से उनकी शारीरिक क्षमताओं और,hin_Deva,0.0,IndicLID-FTN
5348024557507086_f569_chunk_0_subchunk_1.wav,दूसरे के साथ,hin_Deva,0.0,IndicLID-FTN
5348024557506490_f106_chunk_34_subchunk_1.wav,ब सॉल् हो सकती है,hin_Deva,0.0,IndicLID-FTN
5348024557506343_f1670_chunk_0_subchunk_1.wav,नेस्केफे गोल्ड ओरिजनल रोस्टेट कॉफी को पिछले ऑर्डर में बताई गई समानमात्रा के साथ फिर से ऑर्डर करें,hin_Deva,0.0,IndicLID-FTN
5348024557507085_f105_chunk_1_subchunk_1.wav,मैं ये कह सकता हूं कि,kas_Deva,0.0,IndicLID-FTN
5348024557507047_f1811_chunk_0_subchunk_1.wav,उन सभी निशुल्क टीकाकरण केंद्रों की सूची बनाए जो कोवैक्सीन की बूसर डोज देते हैं,hin_Deva,0.0,IndicLID-FTN
5348024557506333_f148_chunk_6_subchunk_1.wav,हमारे गांव में गांव में और मेरे घर के ही पास जुड्डेन हैं,hin_Deva,0.0,IndicLID-FTN
5348024557506329_f655_chunk_10_subchunk_1.wav,क लगाते थे वो भात,mai_Deva,0.0,IndicLID-FTN
5348024557506349_f1959_chunk_0_subchunk_1.wav,कृपया दस हजार रुपे मेरे पेयूमनी वॉलेट में ट्रांसफर करें,hin_Deva,0.0,IndicLID-FTN
5348024557506369_f473_chunk_0_subchunk_1.wav,निजामाबाद,mai_Deva,0.0,IndicLID-FTN
5348024557506372_f470_chunk_4_subchunk_1.wav,ब्राजील,mar_Deva,0.0,IndicLID-FTN
5348024557506432_f127_chunk_19_subchunk_1.wav,वो जो कोविड के बारे में जो मेरा एक्सप्रेंस था मतलब सभी जगह एक तरफ का डरसा हो गया था,hin_Deva,0.0,IndicLID-FTN
5348024557506617_f666_chunk_12_subchunk_1.wav,ये रंग और रोशनी का त्योहार है,hin_Deva,0.0,IndicLID-FTN
5348024557506228_f1189_chunk_0_subchunk_1.wav,मैं लाना ग्रीनबोड ग्रीनटी कुबेड इंडस्ट्रीज दिजनी प्रिंटेड कैंफ स लॉनड्रीबेग और बेलाविटा ऑर्गेनिक आइलिफ्ट अंडराइ क्रीमजेल वाले अपने ऑर्डर की ्स्थिति जना चाहता हूं,hin_Deva,0.0,IndicLID-FTN
5348024557507266_f1984_chunk_0_subchunk_1.wav,मुझे बताओ कि गोबी पराठा कैसे बनाते हैं,mai_Deva,0.0,IndicLID-FTN
5348024557506963_f94_chunk_1_subchunk_1.wav,सर्वोत्वमुख अभिवृद्धि उसको हो इस प्रकार में सहायता करने के लिए एक अच्छा विकल्प है,hin_Deva,0.0,IndicLID-FTN
5348024557507086_f569_chunk_8_subchunk_1.wav,अगर मुझे अपने घर में लोगों को लंच या डेलनर में बुलाना पड़े तो कोई न कोई इवेंट होता है,hin_Deva,0.0,IndicLID-FTN
5348024557507275_f1986_chunk_0_subchunk_1.wav,मुझे घनलक्ष्मी बैंक में ारहजार रुपये से के अटके लेनदेन में राशि वापस कब मिलेगी,hin_Deva,0.0,IndicLID-FTN
5348024557506383_f141_chunk_2_subchunk_1.wav,सच्चाई को सुनिश्चित करने के लिए,hin_Deva,0.0,IndicLID-FTN
5348024557506968_f294_chunk_0_subchunk_1.wav,मुझे ट्रेडिशनल कपड़े बहुत अच्छे लगते हैं तो बाहोबली के जो कास्टिंग थी या उसमें जो ड्रेसिंग फेंसथा या ड्रेसेस थै वो मुझे बहुत अच्छा लगा,hin_Deva,0.0,IndicLID-FTN
5348024557506329_f655_chunk_6_subchunk_1.wav,मारवड जो हिंदू धर्म के लिए,hin_Deva,0.0,IndicLID-FTN
5348024557506274_f71_chunk_0_subchunk_1.wav,नहीं है,mai_Deva,0.0,IndicLID-FTN
5348024557506333_f148_chunk_20_subchunk_1.wav,वहां पे हमने,san_Deva,0.0,IndicLID-FTN
